stem,keep_frac,gtm_vs_gt_psnr_keep,unmasked_split,unmasked_psnr_full,unmasked_psnr_keep,unmasked_psnr_excl,native_prompt_split,native_prompt_psnr_full,native_prompt_psnr_keep,native_prompt_psnr_excl,masked_split,masked_psnr_full,masked_psnr_keep,masked_psnr_excl
DJI_0013,0.6176,40.38134765625,train,28.584697723388672,27.608680725097656,30.854032516479492,train,28.755168914794922,27.37310218811035,32.790924072265625,train,9.371024131774902,24.89650535583496,5.272014141082764
DJI_0014,0.6099466666666666,40.38240432739258,train,26.533313751220703,26.010732650756836,27.502155303955078,train,26.969215393066406,26.236942291259766,28.439544677734375,train,9.700582504272461,27.56586265563965,5.655345439910889
DJI_0015,0.59248,39.64931869506836,train,29.883625030517578,28.36778450012207,33.94279098510742,train,30.262662887573242,28.64314842224121,34.9106559753418,train,9.545668601989746,25.55242919921875,5.712174415588379
DJI_0016,0.5883626666666667,40.010963439941406,train,29.206180572509766,27.695817947387695,33.12596893310547,train,29.530399322509766,27.832679748535156,34.52927017211914,train,9.530447006225586,27.500118255615234,5.7165679931640625
DJI_0017,0.5850506666666667,40.43122863769531,train,29.500627517700195,27.847402572631836,34.09944534301758,train,29.587238311767578,27.8214168548584,34.92384338378906,train,9.63292121887207,28.38799285888672,5.846848011016846
DJI_0018,0.581984,40.663902282714844,train,30.41122817993164,28.89716339111328,34.18635940551758,train,31.021259307861328,29.212848663330078,36.535614013671875,test,9.468953132629395,20.057044982910156,5.907432556152344
DJI_0019,0.576384,39.983482360839844,test,21.70049476623535,19.692852020263672,28.681943893432617,test,21.45722198486328,19.641735076904297,26.775548934936523,train,9.30147933959961,26.327220916748047,5.621138572692871
DJI_0020,0.571248,40.11955261230469,train,27.455472946166992,25.91436767578125,31.096031188964844,train,28.548336029052734,26.698314666748047,33.88861083984375,train,9.307905197143555,29.79043197631836,5.652223587036133
DJI_0021,0.5656693333333334,40.118770599365234,train,27.73798179626465,27.17886734008789,28.594253540039062,train,29.516172409057617,27.772174835205078,33.99681854248047,train,9.25278091430664,27.56427764892578,5.667379379272461
DJI_0022,0.5461173333333333,40.910560607910156,train,30.837003707885742,29.589378356933594,33.05854034423828,train,29.33232307434082,29.393699645996094,29.259607315063477,train,9.381462097167969,27.536579132080078,5.9873223304748535
DJI_0023,0.6933653333333333,39.90526580810547,train,24.95391082763672,23.829362869262695,29.74653434753418,train,25.898160934448242,24.71855354309082,31.210006713867188,train,9.920024871826172,25.76643943786621,4.865314960479736
